iter,err
0,93.18631805821052
1,93.13488313872195
2,93.11571199302782
3,93.1072777802694
4,93.10295898748576
5,93.10038545083347
6,93.09866929877992
7,93.09743286264599
8,93.0964860028485
9,93.09572423405955
10,93.0950853051187
11,93.09452934892174
12,93.09402898855866
13,93.09356479214432
14,93.09312356862608
15,93.09269684289409
16,93.09227940573679
17,93.09186877318524
18,93.09146512948232
19,93.09107105365284
20,93.09069086110513
21,93.09032970948171
22,93.08999267263674
23,93.08968398666563
24,93.0894066063133
25,93.08916191916653
26,93.08894951537019
27,93.08876737547627
28,93.08861249631826
29,93.08848150033502
30,93.08837103754867
31,93.08827799244239
