iter,err
0,93.55452117504004
1,93.41763413962502
2,93.34051016934274
3,93.29869616416174
4,93.28146584249156
5,93.27470310529569
6,93.2712912513511
7,93.2688910050611
8,93.26685159806871
9,93.26501583373177
10,93.26345479235131
11,93.26228605150484
12,93.26142060304414
13,93.26051385682538
14,93.2592742606091
15,93.25744112732373
16,93.25483063778563
17,93.25165308765699
18,93.24873420599218
19,93.24675684204742
20,93.24572056331735
21,93.24512618015886
22,93.24464329866558
23,93.24420328988693
24,93.24378395860772
25,93.24337853630165
26,93.24298739017655
27,93.24261678183106
28,93.24227520195325
29,93.24197028310395
30,93.24170786869003
31,93.24149149283355
32,93.24132090985759
33,93.24119255289722
34,93.24110074359896
