iter,err
0,93.5478603925048
1,93.51223495834397
2,93.47595347683432
3,93.42698158991412
4,93.37024874233668
5,93.32000795724751
6,93.28411088030634
7,93.26036971051157
8,93.24438987737415
9,93.23310207295057
10,93.22468420927795
11,93.21809782000089
12,93.21275094728863
13,93.20827819952784
14,93.20447039690397
15,93.20118794449508
16,93.19832071394302
17,93.19577821711329
18,93.1934845461391
19,93.19139310031031
20,93.18949124319856
21,93.18777749326614
22,93.18624622902954
23,93.18487995443097
24,93.18365260906418
25,93.18253487854467
26,93.18149517047624
27,93.18050456703997
28,93.17954157574313
29,93.17859621300498
30,93.17766818072923
31,93.1767666568726
32,93.1758975487718
33,93.17505929021969
34,93.17425478428237
35,93.17348780557597
36,93.17276441797019
37,93.1720901558769
38,93.17147359454397
39,93.1708934508206
40,93.17031647007164
41,93.16973723650476
42,93.16915940166919
43,93.16860205523741
44,93.16811733761233
45,93.16767784994323
46,93.1672462414864
47,93.1668046153344
48,93.16641030532583
49,93.16608338627543
50,93.16579447940335
51,93.1655122208626
52,93.16526908319484
53,93.16504941415138
54,93.16483628836025
55,93.16464936491982
56,93.16449060438276
57,93.16435886506645
58,93.16423861651685
59,93.16412196699021
60,93.16400957390273
61,93.16390276145985
62,93.16380920403951
