iter,err
0,93.10343247750967
1,93.08567666688317
2,93.08221426607987
3,93.08040180442912
4,93.07906387857903
5,93.07791285782018
6,93.07680065262672
7,93.07561579425023
8,93.0742842190337
9,93.07280787718315
10,93.07131238768616
11,93.07005141364145
12,93.06912976027711
13,93.06836623458817
14,93.06767040352165
15,93.06699881889367
16,93.06632583008141
17,93.0656383303124
18,93.06494210813985
19,93.06425690838586
20,93.0636095610087
21,93.06302066801068
22,93.06249811039224
23,93.06204810185096
24,93.06166895483632
25,93.06135372905605
26,93.06109446708024
27,93.06088213568921
28,93.06070738520576
29,93.06056101403504
30,93.06043704248714
31,93.06033073561463
32,93.06023827675243
