iter,err
0,93.54596197683439
1,93.5074320715135
2,93.46369840143599
3,93.40316838493877
4,93.33496253261438
5,93.27505973573986
6,93.23029957170822
7,93.19799897866916
8,93.17350608101727
9,93.15409640306797
10,93.13957780657795
11,93.1290332879555
12,93.12113131884739
13,93.11504582628552
14,93.11023396102651
15,93.10620290864446
16,93.10278886620257
17,93.09979233759499
18,93.09709379405606
19,93.09467774483777
20,93.09251293699737
21,93.09057098690049
22,93.08884677958099
23,93.08732700184434
24,93.08596678082665
25,93.08476128285267
26,93.08369937907139
27,93.08275788150563
28,93.08191725563297
29,93.08116473089349
30,93.08049128659299
31,93.0798932867688
32,93.07935694370892
33,93.07886228327283
34,93.0784009175514
35,93.07796383896785
36,93.0775404833118
37,93.07712514922383
38,93.07671676190608
39,93.0763110475746
40,93.07590188528499
41,93.07548548179459
42,93.07506025557727
43,93.07462754366347
44,93.07418860545627
45,93.0737426494831
46,93.07329055175396
47,93.07283434020754
48,93.07237568869458
49,93.07191711869869
50,93.0714622322018
51,93.07101357735836
52,93.07056937044275
53,93.070128660205
54,93.06969368548562
55,93.06927062812565
56,93.06886096080862
57,93.06845145551569
58,93.06803429847112
59,93.06761552504484
60,93.06721327054565
61,93.06683171467247
62,93.06643712747977
63,93.06605555599606
64,93.06572145237591
65,93.06541231176418
66,93.06510516250725
67,93.06483465094016
68,93.06460111525546
69,93.06438211105763
70,93.06417918255045
71,93.0639890163582
72,93.06382209465697
73,93.06366252773834
74,93.06350637014583
75,93.06336920922398
76,93.06323757804222
77,93.06310394224063
78,93.06296744320957
79,93.06284091960799
80,93.06272435750087
81,93.06260148044343
82,93.06247748523086
83,93.06236449339137
84,93.06225710486342
85,93.06214623028218
86,93.06204333058488
87,93.0619683792389
