iter,err
0,93.52022373899813
1,93.31337693957478
2,93.16463263340844
3,93.09121540262561
4,93.05198019626599
5,93.02543349930295
6,93.00930997261462
7,93.00125866903721
8,92.99689408084956
9,92.99446005472389
10,92.99305376471165
11,92.9921818103849
12,92.99157893247667
13,92.99111421178864
14,92.990722059294
15,92.99036659384727
16,92.99002333296136
17,92.98967281183812
18,92.98929301633979
19,92.9888539999804
20,92.98831729688513
21,92.98762826655891
22,92.9867413302651
23,92.9856296141151
24,92.98432813928588
25,92.98297781772646
26,92.98181469943684
27,92.98092025814762
28,92.98020790112706
29,92.9796268106595
30,92.9791383993303
31,92.97872127998198
32,92.97836070036038
33,92.97804528200486
34,92.97776801721173
35,92.97752377689444
36,92.97730824848155
37,92.97711835913807
38,92.97694936904662
39,92.9767968659642
40,92.97665733368763
41,92.97652737972719
42,92.97640439674787
43,92.97628761747411
44,92.97617414548354
45,92.97606193370953
46,92.97595050072745
47,92.97584037878461
48,92.97573362578099
49,92.97563331063002
50,92.9755431258535
