iter,err
0,93.57109948024122
1,93.46562037745724
2,93.40346914828675
3,93.37602642645122
4,93.36556614958263
5,93.36062840225385
6,93.35727610657628
7,93.35420190034023
8,93.35145029604865
9,93.34943576189573
10,93.34783374850116
11,93.34647486744213
12,93.34530388570606
13,93.3442911670548
14,93.34339939789045
15,93.3426035904604
16,93.34192044395094
17,93.34135933110201
18,93.34088431222506
19,93.34048547950403
20,93.3401607308956
21,93.33989752194073
22,93.33967671780579
23,93.33948774945587
24,93.33932194481471
25,93.33917280649358
26,93.3390353226392
27,93.33890431995754
28,93.33877458529551
29,93.33864081812162
30,93.33849785789612
31,93.33834040875885
32,93.3381628678606
33,93.33796046869841
34,93.33773049430336
35,93.33747201579172
36,93.3371880041808
37,93.3368877603921
38,93.33658447871773
39,93.33629191964042
40,93.33602766608729
41,93.33580486034775
42,93.33562585775255
43,93.33549939471716
44,93.33542818380742
