iter,err
0,93.33078900967783
1,93.29190274566332
2,93.27831300290624
3,93.27264817774586
4,93.26975845290197
5,93.26804041089292
6,93.26690577950546
7,93.26609214893244
8,93.26547961855078
9,93.26500336485427
10,93.26462247426178
11,93.26430994723115
12,93.26404743025306
13,93.2638219089435
14,93.26362348444276
15,93.26344450984001
16,93.26327960596244
17,93.26312556702429
18,93.26298075134919
19,93.26284399594623
20,93.26271373644187
21,93.26258793536925
22,93.26246453643692
23,93.26234184841087
24,93.2622186731187
25,93.26209429512011
26,93.26196843961624
27,93.26184122869563
28,93.2617131361743
29,93.26158493696256
30,93.26145765036277
31,93.261332475687
32,93.26121071204227
33,93.26109366430629
34,93.26098254740153
35,93.26087839310553
36,93.26078198113439
