iter,err
0,93.1849802800235
1,93.16817246409211
2,93.16503766163999
3,93.16358848920899
4,93.16271033529158
5,93.16209518671076
6,93.16160689842431
7,93.16118030978913
8,93.16078098075754
9,93.16038716818724
10,93.15997778373337
11,93.15952965482273
12,93.15902537494152
13,93.15844852601649
14,93.15780006881242
15,93.15711866791185
16,93.15649907948851
17,93.15608098832153
18,93.15577850171475
19,93.15553891982444
20,93.15533378535103
21,93.15514658170572
22,93.15496814116767
23,93.15479174574709
24,93.15461273057122
25,93.15442700458154
26,93.15423098145561
27,93.15402125814335
28,93.1537945553006
29,93.15354773087816
30,93.15327621738965
31,93.15297563346944
32,93.15264434646204
33,93.1522836848207
34,93.15189784123532
35,93.15149009834641
36,93.15106708237916
37,93.15064274239379
38,93.15023333548865
39,93.14985586364543
40,93.14952404407948
41,93.1492473043056
42,93.14902132358928
43,93.1488374732637
44,93.14868518847608
45,93.14855550731701
46,93.14844258478875
47,93.14834261238269
